27 606
7 4 7
7 8 5020
8 16 6330
16 1 262
1 4 6161
20 1 9648
11 24 6984
27 1 1005
6 20 1099
4 16 4681
7 18 8260
25 18 3329
16 12 6835
6 27 552
23 11 4098
18 22 2504
27 13 2662
26 5 7254
24 14 6959
6 21 8295
8 5 8299
14 12 4977
19 4 6781
5 18 530
1 26 2575
13 6 7736
7 5 4165
26 14 8490
7 12 6688
14 13 3079
11 21 6436
19 14 1791
27 8 3691
9 13 3978
26 8 3186
8 23 2469
18 26 204
2 3 3632
1 24 4910
2 11 7057
21 14 2000
2 5 2539
1 9 5552
5 12 9496
12 17 4063
7 13 6758
19 4 3083
14 4 3675
7 1 1023
9 23 6315
3 21 1886
10 24 2056
3 26 4919
18 22 8741
3 15 7708
22 6 3997
21 2 9312
21 11 6990
3 24 3008
22 5 2737
9 20 3884
11 5 5997
23 4 4262
8 14 8602
14 17 2086
8 7 4523
12 6 3804
18 13 8659
24 8 7029
4 15 9892
15 20 8648
5 21 273
12 14 7049
13 20 3780
1 13 5082
7 20 3797
11 2 8471
19 17 3175
5 22 9558
1 23 9052
23 7 6968
15 11 8806
15 2 7684
18 27 4354
8 2 8646
4 11 1149
21 18 9269
23 7 524
15 19 1043
24 19 9047
15 4 4565
24 23 5045
3 18 7131
10 22 9520
11 13 7858
1 25 3521
4 22 2190
19 18 5699
27 21 5256
13 25 2904
8 2 4893
2 8 5615
8 1 978
5 27 2450
7 14 7848
27 3 1235
18 6 8557
19 1 9634
15 25 6886
3 19 9469
12 23 1970
24 6 3255
27 8 3945
12 25 8904
19 17 5215
1 12 3122
2 22 7800
5 15 4346
21 11 3293
17 25 1759
8 1 2207
22 23 1532
1 4 6619
3 17 448
21 13 1497
20 18 4392
4 14 8592
10 20 6660
1 2 5097
13 2 4849
19 25 4942
9 8 1396
18 5 4018
1 8 1269
24 3 9958
1 22 4395
8 27 3989
5 19 6450
13 5 9893
12 10 5671
12 20 6356
8 27 4084
16 6 6601
24 12 4924
14 22 9502
6 18 3910
14 6 1771
4 1 7447
16 7 2063
25 9 2052
3 8 6778
23 6 1215
16 19 5971
20 16 5238
25 17 4743
13 6 6195
20 26 383
9 22 5485
8 10 3830
13 27 8950
1 14 1526
14 2 2562
3 13 7152
26 3 3423
16 26 3063
9 5 3966
5 6 5490
19 13 1593
1 11 4648
2 18 7797
3 21 6559
5 4 3647
2 8 7011
2 14 3054
1 2 3194
12 18 7777
17 16 829
14 23 3434
2 23 4571
14 8 246
24 10 7627
22 26 4372
26 18 869
15 17 7037
21 19 5702
9 24 1710
20 23 1074
12 7 769
24 26 908
18 25 4211
16 21 2337
11 7 2722
20 6 6616
4 5 2360
1 6 4798
1 19 9968
3 15 1327
22 25 5336
23 9 8421
18 25 2228
21 9 9155
7 23 7954
5 18 7390
3 1 6725
6 8 5472
9 4 2
17 21 6037
22 18 2055
8 20 6213
9 1 6298
20 17 5522
16 18 4002
12 21 6113
11 23 3029
3 8 1667
16 1 7087
8 17 3165
13 6 7702
4 21 9362
12 26 8766
4 1 3432
5 3 5424
16 15 9359
21 4 409
10 20 7083
1 14 9762
15 19 1000
3 20 4201
12 2 9665
21 9 5828
21 18 2544
10 16 6194
2 9 6239
24 2 5672
13 12 8538
26 14 7050
6 13 4408
10 2 4732
23 22 1386
23 5 419
25 18 8289
22 17 2950
24 14 3076
17 15 5568
20 22 2577
16 19 6923
2 17 6754
26 20 8852
13 18 9227
7 27 1351
24 7 5815
10 27 4324
21 16 7516
6 4 5953
2 16 3100
1 11 1803
10 7 1377
1 15 6319
26 14 4242
12 4 7319
8 16 4659
14 18 6144
18 4 6274
16 8 764
9 16 2974
11 14 9731
21 16 3886
18 8 7685
14 9 6130
11 17 1747
25 15 716
5 12 5897
21 6 2187
12 6 3995
15 21 7460
27 10 9818
10 12 8247
12 8 2846
8 2 3969
15 26 3752
9 22 5179
11 13 2979
27 4 2485
7 16 354
19 10 8722
26 11 8542
8 14 3452
18 5 5997
22 15 6423
5 14 1395
17 2 4936
19 16 6209
25 21 6151
26 9 7077
17 21 8984
22 17 1157
26 21 7749
17 21 9746
15 20 4964
16 9 4362
27 7 5282
25 11 1952
11 24 5744
26 27 6354
27 18 7000
10 21 7757
18 15 6997
8 12 3660
3 14 6086
13 4 3013
11 9 1639
21 4 7418
17 16 3932
26 13 2280
19 13 5484
7 1 5656
13 17 2651
19 16 7319
18 7 3275
20 17 9949
16 4 8124
5 24 259
7 1 27
18 14 7113
8 6 4083
11 13 2662
14 22 7434
11 1 6891
22 23 1792
9 8 3971
19 5 9279
2 25 6495
19 15 7036
3 24 5988
25 4 3007
18 15 4657
24 13 8324
5 10 5622
8 27 164
13 15 4050
22 18 2830
18 16 8857
1 11 679
24 1 7093
6 1 8493
27 25 9161
9 1 5761
1 22 5300
18 20 759
14 21 6933
9 11 3491
18 9 1697
10 6 196
8 7 1043
22 17 824
15 20 7040
25 15 704
18 21 4879
25 24 3227
10 22 584
22 19 964
4 5 5726
9 2 684
23 1 3173
1 27 8065
5 6 3360
22 24 4647
24 17 9373
4 13 6255
1 16 2737
24 2 7655
14 22 5236
6 23 9586
14 6 7488
11 17 7123
6 14 9121
14 23 3344
25 5 5011
10 14 6557
27 6 6930
2 9 5463
21 6 1797
12 23 2693
10 20 853
11 17 2161
17 6 1009
15 20 5186
26 24 7722
13 16 4766
14 24 4015
22 13 161
23 27 8647
14 27 8048
24 12 6878
16 27 2925
12 21 8804
9 23 9066
8 23 8089
25 19 9577
12 14 1059
27 22 6349
12 14 3697
11 17 8495
13 27 5980
8 26 7759
14 25 304
21 25 3162
26 19 9136
13 14 9736
26 11 5993
15 6 9240
25 22 4050
24 4 6973
1 21 5728
15 1 8215
6 3 3888
2 14 9513
17 22 1177
17 22 885
22 4 3831
4 13 9079
7 4 4859
26 3 4966
5 25 5835
14 11 965
27 3 3109
5 2 2243
22 20 6451
11 12 3499
23 21 8710
3 16 6204
18 16 3041
9 21 8423
22 1 3480
1 18 5212
6 9 2997
23 19 9405
1 10 891
19 10 6454
3 12 2731
14 8 2510
23 8 8543
2 8 9109
6 20 2907
24 9 4563
15 9 4478
12 9 9804
6 5 6239
15 19 9545
1 24 996
2 19 8539
20 4 4410
18 15 404
22 10 1095
6 21 3199
7 8 8149
19 21 6610
5 15 9349
8 13 4866
10 16 3988
27 26 9961
25 1 7323
2 6 3853
18 22 309
12 9 4797
21 9 1833
7 9 6897
7 11 8664
19 1 3196
19 6 5426
17 27 9837
17 11 2473
12 9 4997
4 24 1536
4 19 2763
7 3 4475
17 20 9709
26 25 2527
23 18 4308
14 24 2884
13 2 5603
24 11 4908
17 21 2877
4 3 8071
25 26 9852
4 21 4623
22 5 6312
2 6 9930
20 1 3321
8 15 4622
8 16 9692
13 9 7823
14 12 5085
8 23 5660
4 10 25
23 14 7578
23 17 7860
15 11 814
26 14 2659
21 3 5597
24 13 8622
19 20 389
18 8 7110
13 2 3964
8 24 6378
9 22 7822
12 5 3483
19 11 7919
15 26 9369
9 5 3298
25 5 7843
20 1 5686
18 26 9136
8 3 5552
21 4 9431
26 10 6348
16 4 8033
18 1 529
25 3 8203
11 15 4359
27 1 6254
18 13 1594
15 17 2683
6 15 1986
4 7 6545
27 15 1068
13 1 7951
19 6 6172
19 15 1995
20 24 7414
25 20 1369
24 14 4587
24 9 6101
16 22 5865
18 12 7964
1 18 456
8 15 2160
7 20 753
16 5 5571
9 6 7932
18 17 6958
5 13 7201
14 25 7369
12 3 2602
15 24 3347
10 3 6577
3 16 8193
22 23 4868
24 22 341
1 20 5085
7 6 2997
3 9 3514
25 16 6680
21 12 2128
3 10 3555
27 26 7060
23 6 2563
12 11 6576
17 11 8037
8 22 4514
18 24 9088
20 3 7165
22 12 7375
17 11 6166
13 16 5132
14 4 9542
3 8 9877
8 18 9728
14 7 6251
16 14 7080
14 5 7996
19 12 2731
27 25 5212
25 4 4657
27 22 3037
3 20 8012
1 25 1979
20 4 5921
8 13 5062
25 9 8104
15 16 1668
27 2 9245
1 13 912
17 27 1170
26 12 231
15 8 9111
4 19 7316
5 24 6333
20 9 1709
11 23 8183
25 9 1826
7 6 1266
27 15 8075
10 12 294
17 19 2192
6 23 7205
19 10 1142
4 21 2000
10 20 7829
17 11 6200
10 3 3394
9 10 990
9 25 5618
24 25 2593
24 1 5187
5 6 6802
25 13 1426
67 105
38 63 7
38 62 2271
62 28 1804
28 63 7890
66 16 7805
48 9 3220
28 3 6262
66 16 2360
34 13 3250
6 23 3364
66 28 5079
37 23 9544
15 42 7333
