15
4 4
1 3 4
1 2 9
2 1 6
3 1 10
7 11
5 4 4
4 7 2
7 1 5
5 3 7
2 1 9
1 3 3
5 4 2
5 6 1
4 3 3
3 2 5
7 3 5
7 5
1 5 5
4 6 5
5 6 2
7 1 6
5 1 4
7 9
6 1 6
5 1 10
1 3 10
2 1 1
2 6 9
7 5 6
2 1 1
2 5 7
3 7 1
2 5
1 2 7
1 2 7
2 1 9
2 1 1
1 2 7
12 15
9 5 7
3 10 29
7 4 45
9 12 12
6 7 7
10 11 16
1 11 34
5 1 10
8 11 45
7 3 43
3 12 19
3 8 48
11 6 42
3 9 29
6 10 44
25 31
23 6 6
5 12 50
11 24 41
12 14 26
11 17 44
21 6 43
6 7 10
7 22 42
4 12 42
14 18 41
3 4 23
18 15 39
16 10 49
6 8 23
7 23 5
4 22 19
12 16 48
8 23 30
13 19 3
24 11 11
21 11 5
20 6 7
6 12 14
4 2 48
7 11 38
9 1 39
15 7 47
19 2 22
15 19 21
19 1 26
17 6 17
9 19
9 5 22
5 3 41
5 4 15
4 7 35
6 4 36
5 3 25
2 7 32
9 3 50
7 9 1
3 8 8
5 9 31
1 6 41
1 4 35
3 8 6
9 4 23
7 4 44
3 8 33
1 8 27
9 2 1
57 119
3 42 185
24 6 137
54 7 344
19 24 326
10 15 245
44 24 415
21 37 168
9 55 75
39 46 280
51 44 229
46 24 422
55 40 177
38 5 102
5 43 167
8 33 91
49 18 309
18 24 252
39 25 196
26 3 90
47 6 111
10 16 507
48 28 454
35 11 49
16 21 304
9 14 539
42 43 33
5 55 5
54 32 356
49 9 339
50 55 279
48 29 493
55 12 133
56 46 518
12 26 34
23 24 217
57 23 416
16 1 246
23 26 402
53 57 165
28 47 386
25 36 261
10 35 348
13 52 116
35 49 118
12 18 45
44 22 231
10 32 279
37 47 313
35 21 146
22 52 444
18 31 35
41 30 278
46 35 407
54 27 542
54 25 522
2 16 251
7 42 283
6 52 237
51 5 304
25 49 446
33 43 119
35 24 358
19 36 393
33 2 102
39 12 254
35 30 93
52 57 473
43 57 407
53 13 249
2 21 535
34 21 94
44 13 422
5 37 197
46 20 316
2 12 209
47 43 272
20 30 522
16 1 366
38 9 391
32 14 362
13 43 314
18 37 439
6 41 510
25 31 215
21 50 524
10 52 475
48 5 185
2 23 46
46 49 340
31 42 76
11 26 377
30 50 424
20 24 338
34 40 261
26 48 213
25 10 334
55 13 454
14 32 227
1 8 488
5 19 395
30 18 25
19 50 76
8 28 207
46 6 167
50 33 512
23 16 82
53 15 65
