76 373
42 61 8
42 1 6391
1 61 5374
60 51 7280
34 68 8849
7 50 9204
43 13 7396
29 42 3604
70 36 438
16 73 4517
46 7 7039
51 74 2797
7 6 8372
50 48 1481
48 26 7999
34 17 8163
55 38 9882
7 55 9575
14 48 7927
13 27 8702
45 25 4244
66 58 164
64 24 3440
4 61 9891
67 41 2290
31 67 8297
28 47 1562
63 12 2529
43 36 6105
2 14 81
3 23 2793
71 73 3373
55 68 5018
17 34 2183
55 60 8836
63 42 7625
29 9 5213
22 72 4955
57 43 7434
30 54 1344
40 13 648
15 46 4322
63 14 6141
63 57 3039
23 59 7806
32 5 9726
60 18 9372
51 32 9714
10 8 6074
58 50 9754
30 35 1091
17 32 8221
41 69 8214
19 57 5141
38 53 1216
19 22 2168
3 36 6917
47 54 1348
40 57 7740
24 52 9891
6 32 7692
33 37 6015
47 5 939
40 35 9779
21 1 6156
74 52 8512
59 72 9749
12 13 7702
18 59 8232
67 11 1118
42 17 8213
17 38 3582
58 47 2405
41 3 5871
37 26 4427
21 76 4889
26 9 2247
31 48 1365
46 20 6121
35 10 5308
23 60 2011
19 72 6139
15 33 7608
53 44 5162
6 9 935
28 32 2208
50 44 1445
1 44 4975
47 36 1761
29 69 576
73 53 5842
54 32 6496
16 31 4932
29 75 4850
65 10 9234
47 49 621
63 1 4720
66 31 3944
59 39 2162
30 45 1756
21 70 7556
64 46 9891
39 47 1381
53 70 5670
62 5 1064
50 69 5177
54 22 1938
48 64 2670
4 29 1388
59 15 229
9 34 8898
5 58 3810
33 56 2953
23 68 4875
75 71 5369
58 75 5059
56 61 2111
63 9 7901
53 58 1317
49 42 4444
40 56 3807
27 76 2601
64 16 3046
28 45 2651
64 4 5255
10 56 1638
1 57 3471
5 7 8186
47 44 2559
61 22 1459
64 20 5261
42 30 707
36 75 7970
31 20 9557
51 29 1466
46 11 7575
30 13 7109
41 74 1850
38 31 560
51 23 3632
50 74 3334
26 37 2673
24 26 3055
33 43 5492
20 19 3351
13 56 454
56 68 1630
68 63 71
32 64 6388
19 52 1601
14 63 7667
36 49 2423
47 1 4653
67 61 1326
23 9 4754
48 59 1437
41 53 7559
65 29 195
36 12 2376
4 73 7242
42 49 6813
52 67 6948
32 40 9749
24 12 8163
2 76 1664
21 14 3436
41 7 27
48 38 1762
57 6 3427
72 33 5889
16 70 577
45 68 4212
33 59 8516
74 65 6966
55 67 5672
18 75 2118
40 44 985
30 20 9291
29 21 8547
24 39 5499
10 28 3206
54 28 1757
62 55 6198
14 44 7414
2 48 4688
68 18 7872
38 13 8982
49 32 9500
75 50 8221
28 40 2213
35 47 6476
44 55 1121
55 66 46
34 35 9339
76 21 1500
47 39 1458
16 76 6082
64 3 2127
55 3 541
29 48 4670
44 36 5137
29 38 3130
68 36 4959
70 72 511
8 28 4362
1 40 2899
31 65 519
53 18 4012
49 27 9561
34 58 9692
20 24 155
51 75 9105
58 12 465
76 3 989
50 65 3400
73 30 5423
1 68 5539
6 36 1713
49 15 5247
49 4 1377
44 34 8757
44 39 8315
64 58 474
53 25 2537
46 23 2801
14 28 7575
66 25 1813
10 32 7914
47 66 8350
75 47 1599
16 17 768
48 17 8070
49 33 4380
42 16 7645
70 8 5942
41 75 7412
59 2 2323
74 32 9917
46 57 5590
53 64 3237
42 10 1234
53 35 6705
20 70 9934
1 47 6248
31 24 8051
7 61 8864
63 34 2758
20 2 1253
14 76 6631
21 47 3646
26 60 8257
53 62 5819
23 70 5675
2 22 2009
34 6 4934
37 11 5941
11 9 9486
25 21 4745
3 54 5970
4 3 3489
30 12 580
60 47 3661
45 6 2723
9 59 1020
1 6 2845
55 25 9813
72 8 8461
36 8 7099
39 1 9855
3 64 3143
49 25 9765
56 28 4121
26 34 4338
57 38 9878
10 37 5961
13 52 8689
42 8 1559
2 25 3294
27 20 5624
3 52 3049
60 40 2155
48 55 1102
26 42 8086
38 58 6428
69 48 6333
55 40 2827
58 40 6360
65 64 6862
22 67 4787
1 51 8547
63 46 5779
34 67 2097
75 44 6023
66 33 7559
14 43 7549
23 42 2590
20 47 5922
42 56 8767
37 33 414
50 11 9027
64 42 2076
60 11 1363
58 52 3753
48 14 7471
73 50 6186
44 73 2351
32 62 4202
19 31 3859
60 37 779
30 7 9192
19 70 3297
43 25 505
72 21 8714
3 25 251
56 14 7238
59 36 1332
32 7 5407
26 4 7677
66 70 7387
28 18 6844
6 35 9272
13 53 5565
2 18 4271
30 37 2968
1 28 5341
57 52 3686
2 11 5720
23 43 5056
12 69 2769
9 43 1637
31 58 3070
57 40 2553
43 44 4542
63 5 8522
54 30 6715
7 21 7806
27 22 2784
72 25 5178
36 26 617
66 48 2352
13 59 8567
26 1 6111
69 34 7946
73 17 4203
6 61 1706
20 65 3635
73 5 6269
64 21 7099
4 20 5652
17 21 3654
59 30 8821
11 4 1490
60 28 9115
14 46 2683
7 57 3552
52 19 2136
72 65 9283
16 19 2047
25 5 2071
76 60 7236
13 47 6729
11 65 4215
11 46 2729
17 67 2049
54 74 5165
71 46 2371
24 25 9770
54 44 9576
69 49 1902
36 21 6163
59 54 3945
8 9 3240
38 71 5350
27 62 1365
96 744
14 16 2
14 16 1324
20 46 5157
63 74 5172
15 21 1500
84 34 2977
34 83 2903
79 33 6073
86 71 8173
47 17 9887
96 86 8626
14 17 732
27 71 6003
84 12 5508
38 19 9562
60 45 6982
52 25 9553
35 54 4783
34 38 7688
60 90 6605
71 92 2565
83 66 156
19 47 6101
69 84 8111
8 33 6462
94 71 4735
63 44 6913
79 41 9017
49 13 5240
62 66 5590
1 31 9832
21 81 705
7 75 1270
62 55 7488
45 11 4865
90 12 6309
89 38 2824
28 38 7017
9 76 1300
10 3 7065
4 15 1073
58 49 1583
78 50 5925
31 52 8349
34 82 3268
34 10 7388
47 20 1307
24 88 2310
66 4 9121
84 35 4942
66 8 5935
41 38 2497
79 47 3507
28 74 7537
2 84 1916
75 37 2786
54 10 5751
75 84 7781
35 5 3091
42 40 7626
57 2 947
67 13 4395
87 23 7525
66 44 8196
17 21 7731
22 90 7493
76 11 340
44 81 3790
25 83 7246
68 6 3347
41 15 4045
27 72 5432
53 44 6559
24 15 1205
27 52 3513
94 86 1465
88 53 1904
17 13 6621
63 32 9783
95 53 6545
34 47 9573
90 52 6915
53 6 5370
70 71 7552
71 48 4989
66 53 1560
25 58 35
67 8 2094
42 81 6123
44 55 9618
52 68 2317
38 47 9271
13 65 6013
16 39 2464
14 79 4217
9 35 1054
26 36 6140
14 69 9356
23 12 8883
75 63 1742
70 2 3146
25 60 5494
21 20 7981
72 79 8756
88 94 3944
38 42 5075
51 41 5699
31 63 4713
16 89 632
78 39 9777
73 47 5298
37 1 4654
62 4 8679
49 32 2237
61 37 190
86 10 9617
68 21 3115
65 21 8407
78 3 7431
57 26 1675
59 60 7911
87 8 8587
12 46 4748
29 7 9176
71 42 1904
80 82 3977
62 92 7757
55 35 7041
25 14 1385
19 65 7108
47 44 2788
36 14 2120
48 45 4271
82 38 5983
84 86 3175
6 22 8102
67 88 9621
93 70 7081
46 44 1785
40 81 4262
8 94 6009
69 71 2056
48 60 1177
25 66 6938
49 16 4139
85 19 5444
21 91 5446
5 75 1134
3 79 5403
69 46 8065
17 55 4024
10 80 2265
9 29 4440
8 92 6874
29 36 558
71 88 6429
86 77 993
5 51 743
86 51 9706
7 89 7474
93 30 6690
31 58 8297
72 47 4773
95 68 5528
68 41 2881
74 73 7301
47 31 2400
44 34 9405
84 13 3286
45 39 6496
34 25 3984
25 35 2572
90 55 2983
84 16 3820
93 44 2874
74 70 1408
74 9 2991
47 78 2502
77 2 2493
20 38 6623
18 63 7590
32 92 4360
92 39 2581
20 81 4081
39 43 8754
38 84 9796
89 7 6432
34 92 1427
90 69 93
20 71 9592
69 32 5756
70 87 2776
6 45 1955
46 30 8842
91 92 6689
26 31 9508
31 60 3107
73 34 2253
10 33 3449
22 96 4180
21 70 7763
18 51 5781
1 15 235
65 82 8862
4 50 690
9 85 6914
25 93 5590
82 64 5618
81 5 7804
10 57 3588
15 77 6313
32 63 4664
83 24 3808
8 89 1541
34 18 251
12 40 7655
24 41 3090
66 43 5944
79 65 7608
29 90 7442
19 3 2629
47 72 7938
71 1 6902
78 32 7126
86 96 3898
96 77 5795
18 21 3955
7 76 9274
82 57 6250
18 17 9130
47 24 4229
24 3 745
35 26 5000
10 31 8839
51 10 7365
3 47 1787
38 18 4975
73 74 3417
73 65 4108
94 22 5409
41 82 3941
90 29 7717
95 65 5885
70 82 2813
39 54 400
56 49 3474
67 49 6152
31 39 4084
86 8 9633
22 62 7770
34 71 1769
27 15 3637
96 81 134
36 89 2230
44 10 9636
38 87 689
93 63 5861
83 11 173
82 56 2422
22 87 5618
86 64 8711
52 22 3248
64 59 3587
12 21 5028
43 81 4139
91 73 3891
20 82 5756
20 14 6803
69 54 6413
24 79 8783
94 43 3442
59 91 6152
78 59 7240
12 7 8251
82 94 8276
12 95 1140
92 50 1863
85 46 1278
47 53 9334
23 81 2744
90 71 7218
82 40 3581
33 3 3745
16 30 3593
69 61 9516
74 17 3113
2 45 417
12 24 4897
76 31 8692
18 68 6277
84 1 1855
35 34 7695
49 52 2757
25 48 6797
57 6 4483
38 41 1292
47 58 9639
42 61 6824
17 74 621
84 55 1553
3 17 4364
3 76 8294
67 85 62
56 67 5832
66 87 8983
44 95 7055
92 54 4444
23 94 7323
16 1 6886
61 28 8412
5 7 7469
20 70 1801
70 88 133
36 15 4606
54 4 7746
32 90 2096
60 40 5836
35 25 2479
32 88 641
21 8 4742
26 39 678
6 53 1123
67 63 9313
27 48 3208
47 43 4590
84 7 672
83 96 746
47 18 3830
29 59 54
91 10 6800
9 73 955
57 31 7451
86 30 1939
82 88 8167
33 56 5748
26 32 4444
82 11 1845
80 12 2455
65 56 5458
64 83 7315
73 93 3688
62 17 8437
70 68 7794
63 52 8801
57 54 4529
19 64 346
63 89 6797
66 62 589
86 17 9084
69 87 3807
90 83 5379
67 95 4146
85 84 1342
14 96 1462
36 56 3504
14 9 7910
2 17 883
77 61 3685
29 69 2440
14 32 2825
44 53 8400
72 14 8819
55 91 7525
63 38 5689
2 9 3838
39 70 6263
25 71 4090
39 63 9430
84 87 2853
18 13 5760
60 51 3966
34 60 1893
45 32 6062
17 73 3854
34 68 9839
82 80 3995
62 61 2363
15 8 3451
34 49 9251
24 65 3016
56 79 7596
95 86 8658
75 50 4046
67 41 552
83 94 5123
64 91 3773
63 34 8612
48 35 7514
31 56 7450
44 80 5975
57 56 1301
77 3 2926
83 95 9004
51 33 9104
59 92 3321
51 1 1106
8 9 1928
43 57 4870
44 77 6795
39 31 7105
27 41 3015
82 22 9650
82 55 1789
68 37 7556
96 95 5538
82 79 1271
78 91 7360
88 91 9775
47 79 3608
40 45 5590
85 15 9705
80 41 2388
93 95 1356
82 66 9583
40 27 9635
43 25 9883
56 53 9399
14 28 8929
58 3 580
77 73 3308
11 68 4784
35 78 449
33 82 5260
8 86 5264
36 55 3850
16 32 1664
46 70 9581
7 9 2802
74 51 5174
22 59 5351
2 40 9524
18 74 4745
93 26 5798
