date,bush,year,survey,obs
2001 Feb 1-4,57,2001,1,1
2001 Feb 9-11,57,2001,2,2
2001 Feb 19-21,62,2001,3,3
2001 Mar 5-7,63,2001,4,4
2001 Mar 9-11,58,2001,5,5
2001 Mar 26-28,53,2001,6,6
2001 Apr 6-8,59,2001,7,7
2001 Apr 20-22,62,2001,8,8
2001 May 7-9,53,2001,9,9
2001 May 10-14,56,2001,10,10
2001 May 18-20,56,2001,11,11
2001 Jun 8-10,55,2001,12,12
2001 Jun 11-17,55,2001,13,13
2001 Jun 28-Jul 1,52,2001,14,14
2001 Jul 10-11,57,2001,15,15
2001 Jul 19-22,56,2001,16,16
2001 Aug 3-5,55,2001,17,17
2001 Aug 10-12,57,2001,18,18
2001 Aug 16-19,57,2001,19,19
2001 Aug 24-26,55,2001,20,20
2001 Sep 7-10,51,2001,21,21
2001 Sep 14-15,86,2001,22,22
2001 Sep 21-22,90,2001,23,23
2001 Oct 5-6,87,2001,24,24
2001 Oct 11-14,89,2001,25,25
2001 Oct 19-21,88,2001,26,26
2001 Nov 2-4,87,2001,27,27
2001 Nov 8-11,87,2001,28,28
2001 Nov 26-27,87,2001,29,29
2001 Dec 6-9,86,2001,30,30
2001 Dec 14-16,86,2001,31,31
2002 Jan 7-9,84,2002,1,32
2002 Jan 11-14,83,2002,2,33
2002 Jan 25-27,84,2002,3,34
2002 Feb 4-6,82,2002,4,35
2002 Feb 8-10,82,2002,5,36
2002 Mar 1-3,81,2002,6,37
2002 Mar 4-7,77,2002,7,38
2002 Mar 8-9,80,2002,8,39
2002 Mar 18-20,79,2002,9,40
2002 Mar 22-24,79,2002,10,41
2002 Apr 5-7,76,2002,11,42
2002 Apr 8-11,75,2002,12,43
2002 Apr 22-24,77,2002,13,44
2002 Apr 29-May 1,77,2002,14,45
2002 May 6-9,76,2002,15,46
2002 May 20-22,76,2002,16,47
2002 May 28-29,77,2002,17,48
2002 Jun 3-6,70,2002,18,49
2002 Jun 7-8,74,2002,19,50
2002 Jun 17-19,74,2002,20,51
2002 Jun 21-23,73,2002,21,52
2002 Jun 28-30,76,2002,22,53
2002 Jul 5-8,76,2002,23,54
2002 Jul 9-11,73,2002,24,55
2002 Jul 22-24,69,2002,25,56
2002 Jul 26-28,69,2002,26,57
2002 Jul 29-31,71,2002,27,58
2002 Aug 5-8,68,2002,28,59
2002 Aug 19-21,65,2002,29,60
2002 Sep 2-4,66,2002,30,61
2002 Sep 5-8,66,2002,31,62
2002 Sep 13-16,70,2002,32,63
2002 Sep 20-22,66,2002,33,64
2002 Sep 23-26,68,2002,34,65
2002 Oct 3-6,67,2002,35,66
2002 Oct 14-17,62,2002,36,67
2002 Oct 21-22,67,2002,37,68
2002 Oct 31-Nov 3,63,2002,38,69
2002 Nov 8-10,68,2002,39,70
2002 Nov 11-14,66,2002,40,71
2002 Nov 22-24,65,2002,41,72
2002 Dec 5-8,64,2002,42,73
2002 Dec 9-10,63,2002,43,74
2002 Dec 16-17,63,2002,44,75
2002 Dec 19-22,61,2002,45,76
2003 Jan 3-5,63,2003,1,77
2003 Jan 10-12,58,2003,2,78
2003 Jan 13-16,61,2003,3,79
2003 Jan 20-22,58,2003,4,80
2003 Jan 23-25,60,2003,5,81
2003 Jan 31-Feb 2,61,2003,6,82
2003 Feb 3-6,59,2003,7,83
2003 Feb 7-9,61,2003,8,84
2003 Feb 17-19,58,2003,9,85
2003 Feb 24-26,57,2003,10,86
2003 Mar 3-5,57,2003,11,87
2003 Mar 14-15,58,2003,12,88
2003 Mar 22-23,71,2003,13,89
2003 Mar 24-25,69,2003,14,90
2003 Mar 29-30,71,2003,15,91
2003 Apr 5-6,70,2003,16,92
2003 Apr 7-9,69,2003,17,93
2003 Apr 14-16,71,2003,18,94
2003 Apr 22-23,70,2003,19,95
2003 May 5-7,69,2003,20,96
2003 May 19-21,66,2003,21,97
2003 May 30-Jun 1,64,2003,22,98
2003 Jun 9-10,62,2003,23,99
2003 Jun 12-15,63,2003,24,100
2003 Jun 27-29,61,2003,25,101
2003 Jul 7-9,62,2003,26,102
2003 Jul 18-20,59,2003,27,103
2003 Jul 25-27,58,2003,28,104
2003 Aug 4-6,60,2003,29,105
2003 Aug 25-26,59,2003,30,106
2003 Sep 8-10,52,2003,31,107
2003 Sep 19-21,50,2003,32,108
